variant	repository	commit	asset	asset_fnv64	width	height	framerate	duration	total_frames	sample	frame	render_width	render_height	frame_fnv64	nontransparent_pixels	alpha_sum	bounds
telegram	https://github.com/TelegramMessenger/rlottie	67f103bc8b625f2a4a9e94f1d8c7bd84c5a08d1d	gradient_animated_background.json	a78189500889cf1b	1080	1920	15	10.266666412353516	155	p000	0	128	128	6e1971058190707e	9472	2369345	27,0,74,128
telegram	https://github.com/TelegramMessenger/rlottie	67f103bc8b625f2a4a9e94f1d8c7bd84c5a08d1d	gradient_animated_background.json	a78189500889cf1b	1080	1920	15	10.266666412353516	155	p025	38	128	128	ae8b6ce5a9f11e23	9472	2370193	27,0,74,128
telegram	https://github.com/TelegramMessenger/rlottie	67f103bc8b625f2a4a9e94f1d8c7bd84c5a08d1d	gradient_animated_background.json	a78189500889cf1b	1080	1920	15	10.266666412353516	155	p050	77	128	128	a883e70352c27f00	9472	2369988	27,0,74,128
telegram	https://github.com/TelegramMessenger/rlottie	67f103bc8b625f2a4a9e94f1d8c7bd84c5a08d1d	gradient_animated_background.json	a78189500889cf1b	1080	1920	15	10.266666412353516	155	p075	116	128	128	6ef3cf19a7f02c16	9472	2369629	27,0,74,128
telegram	https://github.com/TelegramMessenger/rlottie	67f103bc8b625f2a4a9e94f1d8c7bd84c5a08d1d	gradient_animated_background.json	a78189500889cf1b	1080	1920	15	10.266666412353516	155	p100	154	128	128	c8069d00611583c8	9472	2369426	27,0,74,128
telegram	https://github.com/TelegramMessenger/rlottie	67f103bc8b625f2a4a9e94f1d8c7bd84c5a08d1d	mask.json	1c1102ff30a73b97	500	500	60	0.48333331942558289	30	p000	0	128	128	debc5eb999e96f6a	2236	537821	38,38,52,52
telegram	https://github.com/TelegramMessenger/rlottie	67f103bc8b625f2a4a9e94f1d8c7bd84c5a08d1d	mask.json	1c1102ff30a73b97	500	500	60	0.48333331942558289	30	p025	7	128	128	07e2121e1a06d9bc	2262	543024	38,38,52,52
telegram	https://github.com/TelegramMessenger/rlottie	67f103bc8b625f2a4a9e94f1d8c7bd84c5a08d1d	mask.json	1c1102ff30a73b97	500	500	60	0.48333331942558289	30	p050	15	128	128	c18ff53ef485dd81	2240	538270	38,38,52,52
telegram	https://github.com/TelegramMessenger/rlottie	67f103bc8b625f2a4a9e94f1d8c7bd84c5a08d1d	mask.json	1c1102ff30a73b97	500	500	60	0.48333331942558289	30	p075	22	128	128	746f008319011518	2184	524887	38,38,52,52
telegram	https://github.com/TelegramMessenger/rlottie	67f103bc8b625f2a4a9e94f1d8c7bd84c5a08d1d	mask.json	1c1102ff30a73b97	500	500	60	0.48333331942558289	30	p100	29	128	128	8123a21e9bd57701	2128	501052	38,38,52,52
telegram	https://github.com/TelegramMessenger/rlottie	67f103bc8b625f2a4a9e94f1d8c7bd84c5a08d1d	matte_two_item_with_lowerlayer.json	764f903aa7bfff66	300	300	29.970001220703125	4.9716382026672363	150	p000	0	128	128	8e57d5d7d6a45619	1390	252993	40,45,46,41
telegram	https://github.com/TelegramMessenger/rlottie	67f103bc8b625f2a4a9e94f1d8c7bd84c5a08d1d	matte_two_item_with_lowerlayer.json	764f903aa7bfff66	300	300	29.970001220703125	4.9716382026672363	150	p025	37	128	128	8e57d5d7d6a45619	1390	252993	40,45,46,41
telegram	https://github.com/TelegramMessenger/rlottie	67f103bc8b625f2a4a9e94f1d8c7bd84c5a08d1d	matte_two_item_with_lowerlayer.json	764f903aa7bfff66	300	300	29.970001220703125	4.9716382026672363	150	p050	75	128	128	8e57d5d7d6a45619	1390	252993	40,45,46,41
telegram	https://github.com/TelegramMessenger/rlottie	67f103bc8b625f2a4a9e94f1d8c7bd84c5a08d1d	matte_two_item_with_lowerlayer.json	764f903aa7bfff66	300	300	29.970001220703125	4.9716382026672363	150	p075	112	128	128	8e57d5d7d6a45619	1390	252993	40,45,46,41
telegram	https://github.com/TelegramMessenger/rlottie	67f103bc8b625f2a4a9e94f1d8c7bd84c5a08d1d	matte_two_item_with_lowerlayer.json	764f903aa7bfff66	300	300	29.970001220703125	4.9716382026672363	150	p100	149	128	128	8e57d5d7d6a45619	1390	252993	40,45,46,41
telegram	https://github.com/TelegramMessenger/rlottie	67f103bc8b625f2a4a9e94f1d8c7bd84c5a08d1d	polystar_line_clockwise_trim.json	8d8cd4aacce0760d	300	300	29.970001220703125	4.9716382026672363	150	p000	0	128	128	c83d598f3556b475	17	1712	64,20,9,4
telegram	https://github.com/TelegramMessenger/rlottie	67f103bc8b625f2a4a9e94f1d8c7bd84c5a08d1d	polystar_line_clockwise_trim.json	8d8cd4aacce0760d	300	300	29.970001220703125	4.9716382026672363	150	p025	37	128	128	60e9ce778ae86f69	159	17345	80,45,35,65
telegram	https://github.com/TelegramMessenger/rlottie	67f103bc8b625f2a4a9e94f1d8c7bd84c5a08d1d	polystar_line_clockwise_trim.json	8d8cd4aacce0760d	300	300	29.970001220703125	4.9716382026672363	150	p050	75	128	128	b8eee0e425b103d5	412	44920	9,44,112,80
telegram	https://github.com/TelegramMessenger/rlottie	67f103bc8b625f2a4a9e94f1d8c7bd84c5a08d1d	polystar_line_clockwise_trim.json	8d8cd4aacce0760d	300	300	29.970001220703125	4.9716382026672363	150	p075	112	128	128	e39c8fe6941cc475	425	45588	20,20,77,90
telegram	https://github.com/TelegramMessenger/rlottie	67f103bc8b625f2a4a9e94f1d8c7bd84c5a08d1d	polystar_line_clockwise_trim.json	8d8cd4aacce0760d	300	300	29.970001220703125	4.9716382026672363	150	p100	149	128	128	bd022da8a5ca7621	1703	193233	20,19,91,91
